Best parameters set found on development set:

{'alpha': 0.001, 'hidden_layer_sizes': 13, 'random_state': 1}
0.187 (+/-0.241) for {'alpha': 0.0001, 'hidden_layer_sizes': 6, 'random_state': 0}
0.163 (+/-0.303) for {'alpha': 0.0001, 'hidden_layer_sizes': 6, 'random_state': 1}
0.205 (+/-0.112) for {'alpha': 0.0001, 'hidden_layer_sizes': 7, 'random_state': 0}
0.214 (+/-0.050) for {'alpha': 0.0001, 'hidden_layer_sizes': 7, 'random_state': 1}
0.165 (+/-0.042) for {'alpha': 0.0001, 'hidden_layer_sizes': 8, 'random_state': 0}
0.201 (+/-0.041) for {'alpha': 0.0001, 'hidden_layer_sizes': 8, 'random_state': 1}
0.236 (+/-0.081) for {'alpha': 0.0001, 'hidden_layer_sizes': 9, 'random_state': 0}
0.176 (+/-0.026) for {'alpha': 0.0001, 'hidden_layer_sizes': 9, 'random_state': 1}
0.187 (+/-0.400) for {'alpha': 0.0001, 'hidden_layer_sizes': 10, 'random_state': 0}
0.219 (+/-0.046) for {'alpha': 0.0001, 'hidden_layer_sizes': 10, 'random_state': 1}
0.247 (+/-0.071) for {'alpha': 0.0001, 'hidden_layer_sizes': 11, 'random_state': 0}
0.212 (+/-0.019) for {'alpha': 0.0001, 'hidden_layer_sizes': 11, 'random_state': 1}
0.189 (+/-0.172) for {'alpha': 0.0001, 'hidden_layer_sizes': 12, 'random_state': 0}
0.129 (+/-0.257) for {'alpha': 0.0001, 'hidden_layer_sizes': 12, 'random_state': 1}
0.122 (+/-0.199) for {'alpha': 0.0001, 'hidden_layer_sizes': 13, 'random_state': 0}
0.279 (+/-0.360) for {'alpha': 0.0001, 'hidden_layer_sizes': 13, 'random_state': 1}
0.132 (+/-0.274) for {'alpha': 0.0001, 'hidden_layer_sizes': 14, 'random_state': 0}
0.190 (+/-0.163) for {'alpha': 0.0001, 'hidden_layer_sizes': 14, 'random_state': 1}
0.240 (+/-0.050) for {'alpha': 1e-05, 'hidden_layer_sizes': 5, 'random_state': 0}
0.017 (+/-0.014) for {'alpha': 1e-05, 'hidden_layer_sizes': 5, 'random_state': 1}
0.187 (+/-0.241) for {'alpha': 1e-05, 'hidden_layer_sizes': 6, 'random_state': 0}
0.193 (+/-0.290) for {'alpha': 1e-05, 'hidden_layer_sizes': 6, 'random_state': 1}
0.205 (+/-0.112) for {'alpha': 1e-05, 'hidden_layer_sizes': 7, 'random_state': 0}
0.215 (+/-0.050) for {'alpha': 1e-05, 'hidden_layer_sizes': 7, 'random_state': 1}
0.165 (+/-0.042) for {'alpha': 1e-05, 'hidden_layer_sizes': 8, 'random_state': 0}
0.201 (+/-0.041) for {'alpha': 1e-05, 'hidden_layer_sizes': 8, 'random_state': 1}
0.236 (+/-0.081) for {'alpha': 1e-05, 'hidden_layer_sizes': 9, 'random_state': 0}
0.176 (+/-0.026) for {'alpha': 1e-05, 'hidden_layer_sizes': 9, 'random_state': 1}
0.138 (+/-0.324) for {'alpha': 1e-05, 'hidden_layer_sizes': 10, 'random_state': 0}
0.219 (+/-0.046) for {'alpha': 1e-05, 'hidden_layer_sizes': 10, 'random_state': 1}
0.248 (+/-0.067) for {'alpha': 1e-05, 'hidden_layer_sizes': 11, 'random_state': 0}
0.212 (+/-0.019) for {'alpha': 1e-05, 'hidden_layer_sizes': 11, 'random_state': 1}
0.211 (+/-0.027) for {'alpha': 1e-05, 'hidden_layer_sizes': 12, 'random_state': 0}
0.178 (+/-0.246) for {'alpha': 1e-05, 'hidden_layer_sizes': 12, 'random_state': 1}
