Best parameters set found on development set:

{'min_samples_leaf': 9, 'min_samples_split': 42}

Grid scores on development set:
0.871 (+/-0.035) for {'min_samples_leaf': 3, 'min_samples_split': 58}
0.871 (+/-0.035) for {'min_samples_leaf': 3, 'min_samples_split': 59}
0.871 (+/-0.036) for {'min_samples_leaf': 3, 'min_samples_split': 60}
0.871 (+/-0.036) for {'min_samples_leaf': 3, 'min_samples_split': 61}
0.871 (+/-0.036) for {'min_samples_leaf': 3, 'min_samples_split': 62}
0.871 (+/-0.035) for {'min_samples_leaf': 3, 'min_samples_split': 63}
0.870 (+/-0.037) for {'min_samples_leaf': 3, 'min_samples_split': 64}
0.870 (+/-0.037) for {'min_samples_leaf': 3, 'min_samples_split': 65}
0.870 (+/-0.037) for {'min_samples_leaf': 3, 'min_samples_split': 66}
0.870 (+/-0.037) for {'min_samples_leaf': 3, 'min_samples_split': 67}
0.870 (+/-0.037) for {'min_samples_leaf': 3, 'min_samples_split': 68}
0.870 (+/-0.037) for {'min_samples_leaf': 3, 'min_samples_split': 69}
0.871 (+/-0.038) for {'min_samples_leaf': 4, 'min_samples_split': 40}
0.871 (+/-0.037) for {'min_samples_leaf': 4, 'min_samples_split': 41}
0.870 (+/-0.038) for {'min_samples_leaf': 4, 'min_samples_split': 42}
0.870 (+/-0.035) for {'min_samples_leaf': 4, 'min_samples_split': 43}
0.870 (+/-0.036) for {'min_samples_leaf': 4, 'min_samples_split': 44}
0.870 (+/-0.036) for {'min_samples_leaf': 4, 'min_samples_split': 45}
0.870 (+/-0.036) for {'min_samples_leaf': 4, 'min_samples_split': 46}
0.870 (+/-0.036) for {'min_samples_leaf': 4, 'min_samples_split': 47}
0.870 (+/-0.036) for {'min_samples_leaf': 4, 'min_samples_split': 48}
0.871 (+/-0.037) for {'min_samples_leaf': 4, 'min_samples_split': 49}
0.870 (+/-0.035) for {'min_samples_leaf': 4, 'min_samples_split': 50}
0.870 (+/-0.035) for {'min_samples_leaf': 4, 'min_samples_split': 51}
0.870 (+/-0.036) for {'min_samples_leaf': 4, 'min_samples_split': 52}
0.870 (+/-0.036) for {'min_samples_leaf': 4, 'min_samples_split': 53}
0.870 (+/-0.037) for {'min_samples_leaf': 4, 'min_samples_split': 54}
0.872 (+/-0.032) for {'min_samples_leaf': 4, 'min_samples_split': 55}
0.872 (+/-0.032) for {'min_samples_leaf': 4, 'min_samples_split': 56}
0.871 (+/-0.033) for {'min_samples_leaf': 4, 'min_samples_split': 57}
