Best parameters set found on development set:

{'min_samples_leaf': 1, 'min_samples_split': 63}

Grid scores on development set:
0.676 (+/-0.086) for {'min_samples_leaf': 3, 'min_samples_split': 58}
0.676 (+/-0.082) for {'min_samples_leaf': 3, 'min_samples_split': 59}
0.681 (+/-0.073) for {'min_samples_leaf': 3, 'min_samples_split': 60}
0.682 (+/-0.071) for {'min_samples_leaf': 3, 'min_samples_split': 61}
0.682 (+/-0.071) for {'min_samples_leaf': 3, 'min_samples_split': 62}
0.684 (+/-0.079) for {'min_samples_leaf': 3, 'min_samples_split': 63}
0.684 (+/-0.075) for {'min_samples_leaf': 3, 'min_samples_split': 64}
0.679 (+/-0.065) for {'min_samples_leaf': 3, 'min_samples_split': 65}
0.683 (+/-0.061) for {'min_samples_leaf': 3, 'min_samples_split': 66}
0.682 (+/-0.060) for {'min_samples_leaf': 3, 'min_samples_split': 67}
0.683 (+/-0.068) for {'min_samples_leaf': 3, 'min_samples_split': 68}
0.683 (+/-0.071) for {'min_samples_leaf': 3, 'min_samples_split': 69}
0.664 (+/-0.069) for {'min_samples_leaf': 4, 'min_samples_split': 40}
0.662 (+/-0.061) for {'min_samples_leaf': 4, 'min_samples_split': 41}
0.663 (+/-0.067) for {'min_samples_leaf': 4, 'min_samples_split': 42}
0.664 (+/-0.078) for {'min_samples_leaf': 4, 'min_samples_split': 43}
0.665 (+/-0.078) for {'min_samples_leaf': 4, 'min_samples_split': 44}
0.669 (+/-0.078) for {'min_samples_leaf': 4, 'min_samples_split': 45}
0.671 (+/-0.077) for {'min_samples_leaf': 4, 'min_samples_split': 46}
0.674 (+/-0.084) for {'min_samples_leaf': 4, 'min_samples_split': 47}
0.675 (+/-0.084) for {'min_samples_leaf': 4, 'min_samples_split': 48}
0.674 (+/-0.082) for {'min_samples_leaf': 4, 'min_samples_split': 49}
0.677 (+/-0.084) for {'min_samples_leaf': 4, 'min_samples_split': 50}
0.677 (+/-0.085) for {'min_samples_leaf': 4, 'min_samples_split': 51}
0.677 (+/-0.085) for {'min_samples_leaf': 4, 'min_samples_split': 52}
0.675 (+/-0.081) for {'min_samples_leaf': 4, 'min_samples_split': 53}
0.677 (+/-0.083) for {'min_samples_leaf': 4, 'min_samples_split': 54}
0.677 (+/-0.083) for {'min_samples_leaf': 4, 'min_samples_split': 55}
0.676 (+/-0.085) for {'min_samples_leaf': 4, 'min_samples_split': 56}
0.675 (+/-0.084) for {'min_samples_leaf': 4, 'min_samples_split': 57}
0.674 (+/-0.083) for {'min_samples_leaf': 4, 'min_samples_split': 58}
0.674 (+/-0.079) for {'min_samples_leaf': 4, 'min_samples_split': 59}
0.678 (+/-0.067) for {'min_samples_leaf': 4, 'min_samples_split': 60}
0.679 (+/-0.065) for {'min_samples_leaf': 4, 'min_samples_split': 61}
0.679 (+/-0.065) for {'min_samples_leaf': 4, 'min_samples_split': 62}
0.683 (+/-0.077) for {'min_samples_leaf': 4, 'min_samples_split': 63}
0.681 (+/-0.070) for {'min_samples_leaf': 4, 'min_samples_split': 64}
0.677 (+/-0.064) for {'min_samples_leaf': 4, 'min_samples_split': 65}
0.680 (+/-0.059) for {'min_samples_leaf': 4, 'min_samples_split': 66}
0.680 (+/-0.059) for {'min_samples_leaf': 4, 'min_samples_split': 67}
0.680 (+/-0.066) for {'min_samples_leaf': 4, 'min_samples_split': 68}
0.680 (+/-0.069) for {'min_samples_leaf': 4, 'min_samples_split': 69}
0.658 (+/-0.088) for {'min_samples_leaf': 5, 'min_samples_split': 40}
0.661 (+/-0.089) for {'min_samples_leaf': 5, 'min_samples_split': 41}
0.659 (+/-0.086) for {'min_samples_leaf': 5, 'min_samples_split': 42}
0.664 (+/-0.096) for {'min_samples_leaf': 5, 'min_samples_split': 43}
0.665 (+/-0.096) for {'min_samples_leaf': 5, 'min_samples_split': 44}
0.672 (+/-0.085) for {'min_samples_leaf': 5, 'min_samples_split': 45}
0.675 (+/-0.089) for {'min_samples_leaf': 5, 'min_samples_split': 46}
0.675 (+/-0.096) for {'min_samples_leaf': 5, 'min_samples_split': 47}
0.678 (+/-0.094) for {'min_samples_leaf': 5, 'min_samples_split': 48}
0.676 (+/-0.092) for {'min_samples_leaf': 5, 'min_samples_split': 49}
0.679 (+/-0.092) for {'min_samples_leaf': 5, 'min_samples_split': 50}
0.679 (+/-0.091) for {'min_samples_leaf': 5, 'min_samples_split': 51}
0.681 (+/-0.093) for {'min_samples_leaf': 5, 'min_samples_split': 52}
0.680 (+/-0.096) for {'min_samples_leaf': 5, 'min_samples_split': 53}
0.679 (+/-0.099) for {'min_samples_leaf': 5, 'min_samples_split': 54}
0.679 (+/-0.099) for {'min_samples_leaf': 5, 'min_samples_split': 55}
0.680 (+/-0.098) for {'min_samples_leaf': 5, 'min_samples_split': 56}
0.679 (+/-0.098) for {'min_samples_leaf': 5, 'min_samples_split': 57}
0.678 (+/-0.097) for {'min_samples_leaf': 5, 'min_samples_split': 58}
0.678 (+/-0.095) for {'min_samples_leaf': 5, 'min_samples_split': 59}
0.679 (+/-0.096) for {'min_samples_leaf': 5, 'min_samples_split': 60}
0.680 (+/-0.089) for {'min_samples_leaf': 5, 'min_samples_split': 61}
0.681 (+/-0.091) for {'min_samples_leaf': 5, 'min_samples_split': 62}
0.683 (+/-0.096) for {'min_samples_leaf': 5, 'min_samples_split': 63}
0.682 (+/-0.094) for {'min_samples_leaf': 5, 'min_samples_split': 64}
0.677 (+/-0.085) for {'min_samples_leaf': 5, 'min_samples_split': 65}
0.679 (+/-0.083) for {'min_samples_leaf': 5, 'min_samples_split': 66}
0.679 (+/-0.082) for {'min_samples_leaf': 5, 'min_samples_split': 67}
0.679 (+/-0.089) for {'min_samples_leaf': 5, 'min_samples_split': 68}
0.679 (+/-0.094) for {'min_samples_leaf': 5, 'min_samples_split': 69}
0.662 (+/-0.061) for {'min_samples_leaf': 6, 'min_samples_split': 40}
0.662 (+/-0.062) for {'min_samples_leaf': 6, 'min_samples_split': 41}
0.659 (+/-0.061) for {'min_samples_leaf': 6, 'min_samples_split': 42}
0.666 (+/-0.076) for {'min_samples_leaf': 6, 'min_samples_split': 43}
0.666 (+/-0.077) for {'min_samples_leaf': 6, 'min_samples_split': 44}
0.668 (+/-0.068) for {'min_samples_leaf': 6, 'min_samples_split': 45}
0.671 (+/-0.071) for {'min_samples_leaf': 6, 'min_samples_split': 46}
0.670 (+/-0.080) for {'min_samples_leaf': 6, 'min_samples_split': 47}
0.673 (+/-0.079) for {'min_samples_leaf': 6, 'min_samples_split': 48}
0.679 (+/-0.076) for {'min_samples_leaf': 6, 'min_samples_split': 49}
0.679 (+/-0.075) for {'min_samples_leaf': 6, 'min_samples_split': 50}
0.680 (+/-0.072) for {'min_samples_leaf': 6, 'min_samples_split': 51}
0.683 (+/-0.074) for {'min_samples_leaf': 6, 'min_samples_split': 52}
0.682 (+/-0.074) for {'min_samples_leaf': 6, 'min_samples_split': 53}
0.681 (+/-0.076) for {'min_samples_leaf': 6, 'min_samples_split': 54}
0.681 (+/-0.076) for {'min_samples_leaf': 6, 'min_samples_split': 55}
